,donor,recipient,21030,21050,23020,32120,60040,total
79,Spain,Colombia,0.0,470750.0,0.0,3329991.0,0.0,3800741.0
80,Spain,India,19497.0,6797785.0,0.0,1386496.0,0.0,8203778.0
81,Spain,Thailand,0.0,0.0,0.0,32435.0,0.0,32435.0
82,Sweden,Chile,0.0,0.0,0.0,1084383.0,0.0,1084383.0
83,Sweden,India,4306879.0,0.0,26060699.0,12572753.0,0.0,42940331.0
84,Sweden,Poland,383.0,250129.0,0.0,589007.0,0.0,839519.0
85,Sweden,South Africa,0.0,0.0,64374.0,1198432.0,0.0,1262806.0
86,Sweden,Thailand,0.0,0.0,0.0,13259316.0,0.0,13259316.0
87,Switzerland,Brazil,0.0,0.0,0.0,1034972.0,0.0,1034972.0
88,Switzerland,Chile,0.0,0.0,0.0,1984348.0,0.0,1984348.0
89,Switzerland,Colombia,0.0,0.0,0.0,743149.0,0.0,743149.0
90,Switzerland,India,0.0,0.0,0.0,76369785.0,0.0,76369785.0
91,Switzerland,South Africa,0.0,0.0,0.0,2665028.0,0.0,2665028.0
92,Switzerland,Thailand,0.0,0.0,6063103.0,0.0,0.0,6063103.0
93,United Kingdom,Brazil,0.0,0.0,98816805.0,39174808.0,0.0,137991613.0
94,United Kingdom,Colombia,0.0,0.0,10098161.0,1214104.0,0.0,11312265.0
95,United Kingdom,India,214915085.0,226060281.0,621381168.0,141881911.0,0.0,1204238445.0
96,United Kingdom,Poland,411633.0,2702617.0,0.0,37674165.0,0.0,40788415.0
97,United Kingdom,South Africa,0.0,0.0,68659652.0,29567081.0,0.0,98226733.0
98,United Kingdom,Thailand,12874688.0,0.0,0.0,123175026.0,0.0,136049714.0
99,United States,Brazil,309560040.0,3456194517.0,999174363.0,1785108528.0,0.0,6550037448.0
100,United States,Chile,16601.0,777158312.0,67384606.0,675643062.0,0.0,1520202581.0
101,United States,Colombia,154388.0,221288646.0,1530577061.0,789030171.0,0.0,2541050266.0
102,United States,India,35997362.0,2273859378.0,1518862446.0,1295117393.0,0.0,5123836579.0
103,United States,Korea,105533013.0,5260158081.0,1397886659.0,866792664.0,0.0,7630370417.0
104,United States,Kuwait,0.0,0.0,24748632.0,278059881.0,0.0,302808513.0
105,United States,Poland,0.0,815085967.0,396007.0,548534715.0,0.0,1364016689.0
106,United States,Saudi Arabia,386553.0,3423114025.0,126190249.0,254167658.0,0.0,3803858485.0
107,United States,South Africa,533570.0,840454769.0,1620571.0,9681699.0,0.0,852290609.0
108,United States,Thailand,18742.0,1378790278.0,619621837.0,1460262364.0,0.0,3458693221.0
