year,,year,donor,recipient,amount
1976,173,1976,Switzerland,India,40386710.0
1976,146,1976,Canada,India,36575434.0
1976,143,1976,Belgium,India,36126619.0
1976,156,1976,Italy,India,35601469.0
1976,180,1976,United States,Colombia,32197808.0
1976,149,1976,France,Colombia,29839352.0
1976,148,1976,Denmark,India,28849377.0
1976,141,1976,Australia,India,27718070.0
1976,160,1976,Japan,Thailand,17138914.0
1976,155,1976,Germany,Thailand,15983364.0
1976,183,1976,United States,Thailand,13192157.0
1976,142,1976,Austria,India,12981849.0
1976,162,1976,Kuwait,Thailand,12905925.0
1976,167,1976,Norway,India,10302328.0
1976,165,1976,Netherlands,Colombia,6668502.0
1976,144,1976,Canada,Brazil,5819969.0
1976,163,1976,Netherlands,Brazil,5032078.0
1976,176,1976,United Kingdom,India,1757633.0
1976,171,1976,Switzerland,Chile,1638466.0
1976,174,1976,Switzerland,Thailand,668112.0
1976,172,1976,Switzerland,Colombia,665840.0
1976,178,1976,United States,Brazil,447192.0
1976,164,1976,Netherlands,Chile,426121.0
1976,170,1976,Switzerland,Brazil,218159.0
1976,147,1976,Canada,Thailand,180744.0
1976,168,1976,Norway,Thailand,116954.0
1977,230,1977,United Kingdom,India,859780876.0
1977,206,1977,Japan,India,563874259.0
1977,208,1977,Japan,Thailand,530787895.0
1977,201,1977,Germany,India,377463218.0
1977,220,1977,Saudi Arabia,India,348718518.0
1977,215,1977,Netherlands,India,330126511.0
1977,207,1977,Japan,Korea,248694518.0
1977,219,1977,Saudi Arabia,Brazil,191647004.0
1977,196,1977,France,India,168900067.0
1977,197,1977,Germany,Brazil,161221505.0
1977,234,1977,United States,Korea,148607841.0
1977,221,1977,Sweden,India,143468255.0
1977,204,1977,Japan,Brazil,125573220.0
1977,194,1977,Denmark,India,112187900.0
1977,226,1977,Switzerland,India,97968834.0
1977,233,1977,United States,India,74168795.0
1977,211,1977,Kuwait,Thailand,72911163.0
1977,217,1977,Norway,India,60113786.0
1977,185,1977,Australia,Thailand,49257439.0
1977,189,1977,Belgium,India,33613012.0
1977,203,1977,Germany,Thailand,32952693.0
1977,184,1977,Australia,India,23390713.0
1977,235,1977,United States,Thailand,23241558.0
1977,202,1977,Germany,Korea,21087761.0
1977,191,1977,Canada,Colombia,17956044.0
1977,214,1977,Netherlands,Colombia,17906980.0
1977,190,1977,Canada,Brazil,17225077.0
1977,199,1977,Germany,Colombia,17059432.0
1977,205,1977,Japan,Colombia,7173973.0
1977,224,1977,Switzerland,Colombia,5462609.0
1977,228,1977,Switzerland,Thailand,3399964.0
1977,192,1977,Canada,India,3360413.0
1977,216,1977,Netherlands,Thailand,2843479.0
1977,222,1977,Switzerland,Brazil,2327842.0
1977,188,1977,Belgium,Colombia,2240867.0
1977,186,1977,Austria,Brazil,2022495.0
1977,223,1977,Switzerland,Chile,1815582.0
1977,212,1977,Netherlands,Brazil,1421740.0
1977,193,1977,Canada,Thailand,416244.0
1977,198,1977,Germany,Chile,356018.0
1977,213,1977,Netherlands,Chile,216382.0
1977,232,1977,United States,Chile,180167.0
1977,231,1977,United Kingdom,Korea,81778.0
1977,195,1977,Denmark,Thailand,53694.0
1977,218,1977,Norway,Thailand,19824.0
1978,275,1978,United Kingdom,India,971662741.0
1978,259,1978,Japan,Thailand,578261402.0
1978,258,1978,Japan,Korea,568670745.0
1978,268,1978,Sweden,India,472112462.0
1978,253,1978,Germany,India,343072952.0
1978,276,1978,United States,India,236847627.0
1978,257,1978,Japan,India,223578309.0
1978,264,1978,Netherlands,India,217021903.0
1978,277,1978,United States,Korea,185499308.0
1978,267,1978,Saudi Arabia,Thailand,156480316.0
1978,265,1978,Norway,India,147255461.0
1978,260,1978,Kuwait,India,103885863.0
1978,266,1978,Saudi Arabia,India,94782363.0
1978,249,1978,France,Brazil,88396868.0
1978,256,1978,Japan,Brazil,58816184.0
1978,247,1978,Canada,Thailand,55504009.0
1978,254,1978,Germany,Korea,47084936.0
1978,246,1978,Canada,India,32469162.0
1978,242,1978,Belgium,India,30043269.0
1978,272,1978,Switzerland,India,27132922.0
1978,240,1978,Austria,Thailand,25550317.0
1978,236,1978,Australia,India,25374145.0
1978,237,1978,Australia,Thailand,22109553.0
1978,252,1978,Germany,Colombia,18833974.0
1978,278,1978,United States,Thailand,16105976.0
1978,263,1978,Netherlands,Colombia,12115976.0
1978,245,1978,Canada,Colombia,12092184.0
1978,250,1978,France,Colombia,9040589.0
1978,273,1978,Switzerland,Thailand,3848005.0
1978,270,1978,Switzerland,Chile,2688572.0
1978,241,1978,Belgium,Colombia,2145948.0
1978,248,1978,Denmark,India,2086036.0
1978,269,1978,Switzerland,Brazil,2003850.0
1978,262,1978,Netherlands,Chile,1664992.0
1978,255,1978,Germany,Thailand,1419275.0
1978,261,1978,Netherlands,Brazil,1041937.0
1978,238,1978,Austria,Brazil,885105.0
1978,239,1978,Austria,Saudi Arabia,622892.0
1978,243,1978,Canada,Brazil,387407.0
1978,271,1978,Switzerland,Colombia,210010.0
1978,244,1978,Canada,Chile,63509.0
1978,251,1978,Germany,Chile,1345.0
1979,306,1979,Japan,Thailand,777159852.0
1979,326,1979,United States,India,549842629.0
1979,297,1979,Germany,India,371255774.0
1979,299,1979,Germany,Thailand,331941604.0
1979,316,1979,Sweden,India,253701905.0
1979,314,1979,Norway,India,139940916.0
1979,327,1979,United States,Korea,123666669.0
1979,300,1979,Japan,Brazil,105952071.0
1979,303,1979,Japan,India,89439193.0
1979,288,1979,Canada,India,75855984.0
1979,311,1979,Netherlands,India,66113950.0
1979,307,1979,Kuwait,Thailand,59307807.0
1979,294,1979,Germany,Brazil,55318408.0
1979,321,1979,Switzerland,Thailand,32770697.0
1979,319,1979,Switzerland,India,32753538.0
1979,291,1979,Denmark,Thailand,32479429.0
1979,284,1979,Belgium,India,28748084.0
1979,325,1979,United States,Chile,23210167.0
1979,298,1979,Germany,Korea,22742661.0
1979,301,1979,Japan,Chile,21825834.0
1979,328,1979,United States,Thailand,21060117.0
1979,293,1979,France,Thailand,15950433.0
1979,305,1979,Japan,Saudi Arabia,12014220.0
1979,312,1979,Netherlands,Thailand,8253963.0
1979,302,1979,Japan,Colombia,8068003.0
1979,279,1979,Australia,India,7208797.0
1979,323,1979,United Kingdom,India,4423657.0
1979,309,1979,Netherlands,Chile,4328807.0
1979,290,1979,Denmark,India,3464474.0
1979,287,1979,Canada,Colombia,3165014.0
1979,308,1979,Netherlands,Brazil,2721796.0
1979,280,1979,Australia,Thailand,2554801.0
1979,283,1979,Belgium,Colombia,2053435.0
1979,282,1979,Austria,Thailand,1283038.0
1979,318,1979,Switzerland,Colombia,1205467.0
1979,281,1979,Austria,Brazil,1197501.0
1979,317,1979,Switzerland,Brazil,1081060.0
1979,285,1979,Canada,Brazil,843424.0
