year,,year,donor,recipient,amount
1985,738,1985,United Kingdom,Colombia,109311.0
1985,740,1985,United Kingdom,Thailand,105785.0
1985,727,1985,Norway,Colombia,100519.0
1985,705,1985,Germany,Saudi Arabia,84302.0
1986,781,1986,Japan,India,595659983.0
1986,785,1986,Japan,Thailand,484972339.0
1986,813,1986,United States,India,426996594.0
1986,770,1986,Germany,India,370198372.0
1986,790,1986,Netherlands,India,358242283.0
1986,760,1986,Canada,India,302849057.0
1986,808,1986,United States,Brazil,285301786.0
1986,765,1986,France,India,241924679.0
1986,806,1986,United Kingdom,India,222731473.0
1986,780,1986,Japan,Colombia,213752706.0
1986,799,1986,Sweden,India,197209038.0
1986,820,1986,United States,Thailand,115459055.0
1986,763,1986,Denmark,India,110720962.0
1986,815,1986,United States,Korea,105619342.0
1986,809,1986,United States,Chile,98858315.0
1986,767,1986,Germany,Brazil,75524444.0
1986,762,1986,Canada,Thailand,58625456.0
1986,774,1986,Germany,Thailand,57549627.0
1986,787,1986,Kuwait,India,53561256.0
1986,777,1986,Italy,India,43982578.0
1986,764,1986,France,Colombia,41434613.0
1986,797,1986,Saudi Arabia,India,35996220.0
1986,754,1986,Australia,Thailand,25153868.0
1986,769,1986,Germany,Colombia,22554252.0
1986,783,1986,Japan,Saudi Arabia,22490044.0
1986,802,1986,Switzerland,India,21812208.0
1986,778,1986,Japan,Brazil,19354028.0
1986,755,1986,Austria,India,15801537.0
1986,791,1986,Netherlands,Thailand,14142085.0
1986,756,1986,Canada,Brazil,14012296.0
1986,766,1986,France,Korea,13034862.0
1986,818,1986,United States,Saudi Arabia,12525514.0
1986,801,1986,Switzerland,Colombia,12190094.0
1986,758,1986,Canada,Colombia,11994409.0
1986,768,1986,Germany,Chile,9708974.0
1986,816,1986,United States,Poland,7204596.0
1986,795,1986,Norway,India,6185450.0
1986,788,1986,Netherlands,Chile,4528456.0
1986,757,1986,Canada,Chile,4221331.0
1986,779,1986,Japan,Chile,4117166.0
1986,807,1986,United Kingdom,Thailand,3419011.0
1986,775,1986,Italy,Brazil,3153411.0
1986,789,1986,Netherlands,Colombia,2965755.0
1986,776,1986,Italy,Colombia,1738543.0
1986,810,1986,United States,Colombia,1623845.0
1986,803,1986,Switzerland,Thailand,1595734.0
1986,772,1986,Germany,Saudi Arabia,1501303.0
1986,793,1986,Norway,Chile,1500680.0
1986,798,1986,Sweden,Colombia,1019818.0
1986,796,1986,Norway,Thailand,987984.0
1986,792,1986,Norway,Brazil,893022.0
1986,771,1986,Germany,Korea,673596.0
1986,805,1986,United Kingdom,Colombia,656450.0
1986,804,1986,United Kingdom,Chile,588070.0
1986,794,1986,Norway,Colombia,281527.0
1986,800,1986,Sweden,Thailand,216325.0
1986,761,1986,Canada,Korea,148573.0
1986,782,1986,Japan,Korea,114453.0
1986,753,1986,Australia,India,75794.0
1987,845,1987,Japan,India,720631887.0
1987,869,1987,United Kingdom,India,699501908.0
1987,847,1987,Japan,Thailand,611430309.0
1987,851,1987,Netherlands,India,553543246.0
1987,873,1987,United States,Brazil,498213417.0
1987,836,1987,Germany,India,484687274.0
1987,846,1987,Japan,Korea,383643444.0
1987,877,1987,United States,India,358190364.0
1987,841,1987,Italy,India,276479562.0
1987,881,1987,United States,Thailand,257558473.0
1987,827,1987,Canada,India,253119455.0
1987,832,1987,France,India,244352815.0
1987,857,1987,Norway,India,230472767.0
1987,830,1987,Denmark,India,149246481.0
1987,834,1987,Germany,Brazil,134996118.0
1987,871,1987,United Kingdom,South Africa,105825534.0
1987,879,1987,United States,Korea,98759766.0
1987,864,1987,Switzerland,India,82117926.0
1987,859,1987,Saudi Arabia,India,72707674.0
1987,861,1987,Sweden,India,64711860.0
1987,828,1987,Canada,Thailand,64482170.0
1987,875,1987,United States,Colombia,52354446.0
1987,842,1987,Japan,Brazil,37030690.0
1987,838,1987,Germany,Thailand,26213677.0
1987,822,1987,Australia,Thailand,18257498.0
1987,843,1987,Japan,Chile,16670686.0
1987,853,1987,Netherlands,Thailand,14807515.0
1987,874,1987,United States,Chile,14793814.0
1987,866,1987,United Kingdom,Brazil,13912659.0
1987,858,1987,Norway,Thailand,12878840.0
1987,835,1987,Germany,Chile,10377375.0
1987,833,1987,France,Thailand,9958518.0
1987,860,1987,Sweden,Chile,7662389.0
1987,867,1987,United Kingdom,Colombia,7353314.0
1987,825,1987,Canada,Chile,5842163.0
1987,840,1987,Italy,Colombia,5591537.0
1987,826,1987,Canada,Colombia,3879100.0
1987,824,1987,Canada,Brazil,3829458.0
1987,863,1987,Switzerland,Colombia,3085942.0
1987,849,1987,Netherlands,Chile,2963977.0
1987,862,1987,Switzerland,Chile,2688327.0
1987,831,1987,Finland,India,1482877.0
1987,855,1987,Norway,Chile,1035300.0
1987,850,1987,Netherlands,Colombia,847145.0
1987,844,1987,Japan,Colombia,767653.0
1987,829,1987,Denmark,Chile,591296.0
1987,848,1987,Netherlands,Brazil,585375.0
1987,872,1987,United Kingdom,Thailand,356622.0
1987,852,1987,Netherlands,Korea,273106.0
1987,856,1987,Norway,Colombia,179858.0
1987,870,1987,United Kingdom,Korea,110727.0
1987,865,1987,Switzerland,Thailand,90147.0
1987,823,1987,Austria,India,77374.0
1987,854,1987,Norway,Brazil,74270.0
1987,821,1987,Australia,India,52425.0
1987,837,1987,Germany,Korea,6016.0
1988,907,1988,Japan,India,1809738317.0
1988,912,1988,Japan,Thailand,1144114745.0
1988,898,1988,Germany,India,716277204.0
1988,938,1988,United States,India,393514243.0
1988,908,1988,Japan,Korea,311799789.0
1988,916,1988,Netherlands,India,251777660.0
1988,933,1988,United States,Brazil,206019845.0
1988,894,1988,France,India,195068651.0
1988,921,1988,Sweden,India,146839147.0
1988,939,1988,United States,Korea,126375127.0
1988,890,1988,Denmark,India,119577810.0
1988,935,1988,United States,Colombia,88210554.0
1988,888,1988,Canada,India,60113258.0
1988,931,1988,United Kingdom,India,59301677.0
1988,889,1988,Canada,Thailand,55734131.0
1988,946,1988,United States,Thailand,50681424.0
1988,893,1988,France,Colombia,50196629.0
1988,900,1988,Italy,Brazil,44756814.0
1988,903,1988,Italy,India,40751298.0
1988,899,1988,Germany,Thailand,40668098.0
1988,944,1988,United States,Saudi Arabia,38058082.0
1988,920,1988,Sweden,Chile,37864241.0
1988,904,1988,Japan,Brazil,36565445.0
1988,887,1988,Canada,Colombia,31275267.0
1988,926,1988,Switzerland,India,29379648.0
1988,892,1988,France,Brazil,28775190.0
1988,940,1988,United States,Kuwait,27063936.0
1988,918,1988,Norway,India,20840875.0
1988,930,1988,United Kingdom,Colombia,19560207.0
1988,902,1988,Italy,Colombia,17198458.0
1988,915,1988,Netherlands,Colombia,16193552.0
1988,934,1988,United States,Chile,14267921.0
1988,901,1988,Italy,Chile,13697011.0
1988,941,1988,United States,Poland,11464751.0
1988,906,1988,Japan,Colombia,9501077.0
1988,914,1988,Netherlands,Chile,6726208.0
1988,910,1988,Japan,Saudi Arabia,4373693.0
1988,909,1988,Japan,Kuwait,3357352.0
1988,917,1988,Netherlands,Thailand,2384128.0
1988,885,1988,Canada,Brazil,2143510.0
1988,925,1988,Switzerland,Colombia,1863635.0
1988,883,1988,Australia,Thailand,1548523.0
1988,932,1988,United Kingdom,Thailand,1168324.0
1988,927,1988,Switzerland,Thailand,908326.0
1988,924,1988,Switzerland,Brazil,587280.0
1988,905,1988,Japan,Chile,513880.0
1988,891,1988,Finland,India,447649.0
1988,923,1988,Sweden,Thailand,404987.0
1988,884,1988,Austria,India,400964.0
1988,919,1988,Sweden,Brazil,316752.0
1988,895,1988,Germany,Brazil,214381.0
1988,882,1988,Australia,India,209827.0
1988,886,1988,Canada,Chile,167089.0
1988,928,1988,United Kingdom,Brazil,129131.0
1988,922,1988,Sweden,South Africa,110849.0
1988,929,1988,United Kingdom,Chile,92236.0
1988,897,1988,Germany,Colombia,20747.0
1988,896,1988,Germany,Chile,2964.0
1989,970,1989,Germany,Poland,2422316006.0
1989,997,1989,Sweden,India,602315047.0
1989,969,1989,Germany,India,441348797.0
1989,989,1989,Netherlands,India,425685167.0
1989,966,1989,France,India,411504796.0
1989,1013,1989,United States,India,326678071.0
1989,1000,1989,Sweden,South Africa,320399942.0
1989,983,1989,Japan,Thailand,299825167.0
1989,1008,1989,United States,Brazil,244908080.0
1989,1006,1989,United Kingdom,India,227483425.0
1989,954,1989,Belgium,Poland,152438043.0
1989,1014,1989,United States,Korea,147491433.0
1989,961,1989,Denmark,India,132988609.0
1989,947,1989,Australia,India,120056446.0
1989,980,1989,Japan,India,106312821.0
1989,993,1989,Spain,India,100535177.0
1989,1017,1989,United States,Thailand,96118103.0
1989,968,1989,Germany,Brazil,88142733.0
1989,981,1989,Japan,Korea,85948392.0
1989,1003,1989,Switzerland,India,74576821.0
1989,971,1989,Germany,Thailand,69039477.0
1989,960,1989,Canada,Thailand,62184239.0
1989,965,1989,France,Colombia,55836771.0
1989,1010,1989,United States,Chile,55339047.0
1989,1011,1989,United States,Colombia,52359051.0
1989,977,1989,Japan,Brazil,50447482.0
1989,984,1989,Kuwait,India,43493083.0
1989,948,1989,Australia,Thailand,43213777.0
1989,988,1989,Netherlands,Colombia,40515638.0
1989,991,1989,Norway,India,39835695.0
1989,973,1989,Italy,Chile,38239978.0
1989,978,1989,Japan,Chile,32652345.0
1989,1015,1989,United States,Poland,32612810.0
1989,953,1989,Belgium,Brazil,31492214.0
1989,974,1989,Italy,Colombia,30033995.0
1989,1005,1989,United Kingdom,Brazil,26139637.0
1989,972,1989,Italy,Brazil,25663099.0
1989,951,1989,Austria,India,17929439.0
1989,957,1989,Canada,Colombia,16605383.0
1989,964,1989,Finland,Thailand,16600174.0
1989,1007,1989,United Kingdom,Thailand,15606291.0
1989,995,1989,Sweden,Chile,13438969.0
1989,975,1989,Italy,India,13340894.0
1989,992,1989,Norway,Thailand,12068302.0
1989,956,1989,Canada,Chile,7190488.0
1989,958,1989,Canada,India,7000837.0
1989,976,1989,Italy,Thailand,5348112.0
1989,987,1989,Netherlands,Chile,5309825.0
1989,979,1989,Japan,Colombia,4658237.0
1989,955,1989,Canada,Brazil,2831781.0
1989,967,1989,France,Thailand,2441504.0
1989,998,1989,Sweden,Poland,1373022.0
1989,1001,1989,Sweden,Thailand,1283547.0
1989,990,1989,Netherlands,Thailand,1039685.0
1989,994,1989,Sweden,Brazil,899766.0
1989,1004,1989,Switzerland,Thailand,552511.0
1989,962,1989,Denmark,Thailand,441666.0
1989,986,1989,Netherlands,Brazil,270961.0
1989,952,1989,Austria,Thailand,259002.0
1989,1002,1989,Switzerland,Colombia,257334.0
1989,949,1989,Austria,Chile,58608.0
1989,950,1989,Austria,Colombia,52096.0
1989,959,1989,Canada,Korea,48628.0
1989,963,1989,Finland,India,8376.0
1990,1049,1990,Germany,Poland,2594274853.0
1990,1061,1990,Japan,Thailand,1101183176.0
1990,1060,1990,Japan,Korea,1088162410.0
1990,1048,1990,Germany,India,655646209.0
1990,1089,1990,United States,Brazil,451533291.0
1990,1091,1990,United States,Colombia,401459169.0
1990,1059,1990,Japan,India,393987391.0
1990,1045,1990,France,Thailand,290993193.0
1990,1076,1990,Sweden,South Africa,268528382.0
1990,1086,1990,United Kingdom,India,238784674.0
1990,1094,1990,United States,India,229537284.0
1990,1044,1990,France,Poland,211595173.0
1990,1065,1990,Netherlands,India,195604921.0
1990,1023,1990,Belgium,Poland,174047521.0
1990,1090,1990,United States,Chile,132058932.0
1990,1050,1990,Germany,Thailand,115440866.0
1990,1019,1990,Australia,Thailand,89574989.0
1990,1032,1990,Canada,Thailand,82637994.0
1990,1073,1990,Sweden,India,81676907.0
1990,1053,1990,Italy,Colombia,80199371.0
1990,1098,1990,United States,Thailand,72463914.0
1990,1043,1990,France,India,63402955.0
1990,1081,1990,Switzerland,India,61088230.0
1990,1097,1990,United States,Poland,58547128.0
1990,1071,1990,Sweden,Chile,38126007.0
1990,1034,1990,Denmark,India,34891014.0
1990,1079,1990,Switzerland,Chile,33266125.0
1990,1024,1990,Canada,Brazil,28282347.0
1990,1069,1990,Spain,Poland,24547919.0
1990,1028,1990,Canada,India,23715538.0
1990,1067,1990,Norway,India,22442656.0
1990,1080,1990,Switzerland,Colombia,20942552.0
1990,1051,1990,Italy,Brazil,20400361.0
1990,1056,1990,Japan,Brazil,18504343.0
1990,1033,1990,Denmark,Chile,18471139.0
1990,1052,1990,Italy,Chile,17731894.0
1990,1054,1990,Italy,India,16926616.0
1990,1046,1990,Germany,Brazil,14869169.0
1990,1041,1990,France,Chile,13572198.0
1990,1022,1990,Belgium,India,13010603.0
1990,1084,1990,United Kingdom,Colombia,11678122.0
1990,1066,1990,Netherlands,Thailand,9691103.0
1990,1083,1990,United Kingdom,Brazil,9589767.0
1990,1068,1990,Spain,Colombia,9365031.0
1990,1077,1990,Sweden,Thailand,9047047.0
1990,1042,1990,France,Colombia,7424616.0
1990,1096,1990,United States,Korea,7033849.0
1990,1082,1990,Switzerland,Thailand,5578602.0
1990,1035,1990,Denmark,Thailand,5254153.0
1990,1026,1990,Canada,Colombia,5137682.0
1990,1031,1990,Canada,Poland,4171126.0
1990,1018,1990,Australia,India,3857079.0
1990,1021,1990,Austria,Thailand,3393408.0
1990,1087,1990,United Kingdom,South Africa,3300514.0
1990,1088,1990,United Kingdom,Thailand,3098935.0
1990,1078,1990,Switzerland,Brazil,2959337.0
1990,1075,1990,Sweden,Poland,2314156.0
1990,1058,1990,Japan,Colombia,2206539.0
1990,1063,1990,Netherlands,Chile,2195964.0
1990,1047,1990,Germany,Chile,1926446.0
1990,1039,1990,Finland,India,1599087.0
1990,1025,1990,Canada,Chile,1477319.0
1990,1055,1990,Italy,Thailand,1231601.0
1990,1040,1990,Finland,Thailand,1054335.0
1990,1037,1990,Finland,Chile,1040070.0
1990,1064,1990,Netherlands,Colombia,488212.0
1990,1057,1990,Japan,Chile,415092.0
1990,1029,1990,Canada,Korea,376387.0
1990,1038,1990,Finland,Colombia,323467.0
1990,1036,1990,Finland,Brazil,204033.0
1990,1072,1990,Sweden,Colombia,84534.0
1990,1070,1990,Sweden,Brazil,67512.0
1990,1020,1990,Austria,India,65259.0
1990,1030,1990,Canada,Kuwait,1568.0
1991,1141,1991,Japan,India,2220393582.0
1991,1145,1991,Japan,Thailand,993872715.0
1991,1136,1991,Japan,Brazil,745883610.0
1991,1182,1991,United States,Brazil,613868952.0
1991,1100,1991,Australia,Thailand,503133663.0
1991,1184,1991,United States,Colombia,313885620.0
1991,1196,1991,United States,Thailand,309560475.0
1991,1183,1991,United States,Chile,303595842.0
1991,1189,1991,United States,India,303063618.0
1991,1128,1991,Germany,India,246582978.0
1991,1178,1991,United Kingdom,India,210694021.0
1991,1149,1991,Netherlands,India,189950139.0
1991,1193,1991,United States,Poland,188319127.0
1991,1172,1991,Switzerland,India,146509116.0
1991,1138,1991,Japan,Colombia,90289156.0
1991,1162,1991,Sweden,India,73577681.0
1991,1116,1991,Denmark,India,71846432.0
1991,1154,1991,Spain,Chile,70209296.0
1991,1144,1991,Japan,Saudi Arabia,67070120.0
1991,1133,1991,Italy,India,64919650.0
1991,1167,1991,Sweden,South Africa,62139311.0
1991,1156,1991,Spain,Poland,50037497.0
1991,1127,1991,Germany,Chile,49555194.0
1991,1112,1991,Canada,India,43867533.0
1991,1126,1991,France,Poland,41946727.0
1991,1152,1991,Norway,India,41363484.0
1991,1137,1991,Japan,Chile,40391116.0
1991,1179,1991,United Kingdom,Poland,37674165.0
1991,1191,1991,United States,Korea,33631582.0
1991,1158,1991,Sweden,Chile,33172304.0
1991,1147,1991,Netherlands,Chile,28785204.0
1991,1129,1991,Germany,Thailand,27530664.0
1991,1132,1991,Italy,Colombia,26802635.0
1991,1111,1991,Canada,Colombia,23086093.0
1991,1195,1991,United States,Saudi Arabia,21928657.0
1991,1105,1991,Austria,India,20020874.0
1991,1130,1991,Italy,Brazil,19894362.0
1991,1123,1991,France,Chile,15331980.0
1991,1122,1991,Finland,Thailand,15296500.0
1991,1131,1991,Italy,Chile,15279047.0
1991,1099,1991,Australia,India,15173175.0
1991,1155,1991,Spain,Colombia,14626937.0
1991,1121,1991,Finland,India,12907268.0
1991,1175,1991,United Kingdom,Brazil,12146151.0
1991,1114,1991,Canada,Thailand,12053648.0
1991,1192,1991,United States,Kuwait,10134221.0
1991,1148,1991,Netherlands,Colombia,10044536.0
1991,1153,1991,Norway,Thailand,9985824.0
1991,1151,1991,Norway,Chile,7438733.0
1991,1134,1991,Italy,Poland,6545713.0
1991,1106,1991,Austria,Korea,6167125.0
1991,1115,1991,Denmark,Chile,6081298.0
1991,1110,1991,Austria,Thailand,5995918.0
1991,1174,1991,Switzerland,Thailand,5360976.0
1991,1135,1991,Italy,Thailand,5270621.0
1991,1150,1991,Netherlands,Thailand,4477442.0
1991,1124,1991,France,Colombia,4252455.0
1991,1169,1991,Switzerland,Brazil,3113622.0
1991,1117,1991,Denmark,Thailand,2655112.0
1991,1101,1991,Austria,Brazil,2558835.0
1991,1180,1991,United Kingdom,South Africa,2511611.0
1991,1181,1991,United Kingdom,Thailand,2252915.0
1991,1170,1991,Switzerland,Chile,2213032.0
1991,1119,1991,Finland,Chile,1991189.0
1991,1165,1991,Sweden,Poland,1277180.0
1991,1176,1991,United Kingdom,Chile,1147806.0
1991,1103,1991,Austria,Colombia,971276.0
1991,1168,1991,Sweden,Thailand,743202.0
1991,1102,1991,Austria,Chile,667709.0
1991,1146,1991,Netherlands,Brazil,614307.0
1991,1171,1991,Switzerland,Colombia,505208.0
1991,1142,1991,Japan,Poland,479072.0
1991,1108,1991,Austria,Saudi Arabia,459232.0
1991,1120,1991,Finland,Colombia,375819.0
1991,1157,1991,Sweden,Brazil,352099.0
1991,1159,1991,Sweden,Colombia,146907.0
1991,1107,1991,Austria,Kuwait,110061.0
1991,1118,1991,Finland,Brazil,89216.0
1991,1173,1991,Switzerland,Korea,52168.0
1992,1231,1992,Germany,Poland,7896412491.0
1992,1302,1992,United States,Kuwait,7406838194.0
1992,1247,1992,Japan,India,1909543284.0
1992,1300,1992,United States,India,1161173681.0
1992,1285,1992,United Kingdom,India,982776129.0
1992,1305,1992,United States,Poland,713641695.0
1992,1230,1992,Germany,India,526752688.0
1992,1200,1992,Belgium,Poland,470688315.0
1992,1250,1992,Japan,Thailand,394819543.0
1992,1296,1992,United States,Colombia,388686496.0
1992,1295,1992,United States,Chile,332416639.0
1992,1309,1992,United States,Thailand,322686133.0
1992,1243,1992,Japan,Chile,256174222.0
1992,1255,1992,Netherlands,India,226143597.0
1992,1294,1992,United States,Brazil,189430099.0
1992,1205,1992,Canada,India,178747110.0
1992,1307,1992,United States,Saudi Arabia,148479604.0
1992,1227,1992,France,Thailand,147728300.0
1992,1264,1992,Sweden,India,134991470.0
1992,1308,1992,United States,South Africa,111903450.0
1992,1270,1992,Sweden,South Africa,86304161.0
1992,1219,1992,Finland,Thailand,56691132.0
1992,1197,1992,Australia,India,56664462.0
1992,1223,1992,France,India,50315791.0
1992,1235,1992,Italy,Chile,48299342.0
1992,1229,1992,Germany,Colombia,43533280.0
1992,1233,1992,Germany,Thailand,40259577.0
1992,1228,1992,Germany,Brazil,36567956.0
1992,1236,1992,Italy,Colombia,36521512.0
1992,1239,1992,Italy,Poland,35882699.0
1992,1258,1992,Norway,India,34790372.0
1992,1211,1992,Denmark,India,33753287.0
1992,1291,1992,United Kingdom,South Africa,28460822.0
1992,1275,1992,Switzerland,India,24245580.0
1992,1253,1992,Netherlands,Chile,19488046.0
1992,1234,1992,Italy,Brazil,17319928.0
1992,1238,1992,Italy,India,15071319.0
1992,1225,1992,France,Poland,12543687.0
1992,1252,1992,Netherlands,Brazil,11262771.0
1992,1271,1992,Sweden,Thailand,9975777.0
1992,1280,1992,United Kingdom,Colombia,9164731.0
1992,1288,1992,United Kingdom,Poland,8989422.0
1992,1208,1992,Canada,Thailand,8742636.0
1992,1241,1992,Italy,Thailand,8717471.0
1992,1240,1992,Italy,South Africa,7822018.0
1992,1199,1992,Austria,Thailand,7690278.0
1992,1254,1992,Netherlands,Colombia,7519423.0
1992,1218,1992,Finland,India,6984329.0
1992,1292,1992,United Kingdom,Thailand,6539975.0
1992,1260,1992,Sweden,Chile,6093391.0
1992,1202,1992,Canada,Chile,5918865.0
1992,1278,1992,United Kingdom,Brazil,5346906.0
1992,1256,1992,Netherlands,Thailand,5338295.0
1992,1203,1992,Canada,Colombia,5329094.0
1992,1257,1992,Norway,Chile,5327388.0
1992,1210,1992,Denmark,Chile,3547102.0
1992,1242,1992,Japan,Brazil,3521151.0
1992,1212,1992,Denmark,Thailand,3454126.0
1992,1220,1992,France,Chile,3357281.0
1992,1267,1992,Sweden,Poland,3230806.0
1992,1272,1992,Switzerland,Brazil,3222259.0
1992,1301,1992,United States,Korea,3125299.0
1992,1279,1992,United Kingdom,Chile,3026504.0
1992,1201,1992,Canada,Brazil,2955684.0
1992,1273,1992,Switzerland,Chile,2240929.0
1992,1277,1992,Switzerland,Thailand,977297.0
1992,1198,1992,Australia,Thailand,715187.0
1992,1244,1992,Japan,Colombia,628777.0
1992,1274,1992,Switzerland,Colombia,627782.0
1992,1248,1992,Japan,Poland,461103.0
1992,1214,1992,Finland,Chile,202669.0
1992,1206,1992,Canada,Korea,193447.0
1992,1215,1992,Finland,Colombia,145365.0
1992,1213,1992,Finland,Brazil,103277.0
1992,1261,1992,Sweden,Colombia,29398.0
1992,1209,1992,Denmark,Brazil,23587.0
1992,1276,1992,Switzerland,Korea,18820.0
1992,1259,1992,Sweden,Brazil,18239.0
1993,1368,1993,Japan,Thailand,2109437256.0
1993,1437,1993,United States,Thailand,1030906955.0
1993,1424,1993,United States,Colombia,583897325.0
1993,1428,1993,United States,India,461425650.0
1993,1436,1993,United States,South Africa,393805798.0
1993,1421,1993,United States,Brazil,373526857.0
1993,1410,1993,United Kingdom,India,274392569.0
1993,1376,1993,Netherlands,India,183110296.0
1993,1344,1993,Germany,Brazil,175309076.0
1993,1347,1993,Germany,India,156842664.0
1993,1433,1993,United States,Poland,110910189.0
1993,1365,1993,Japan,Poland,103317244.0
1993,1350,1993,Italy,Brazil,95074051.0
1993,1335,1993,France,Chile,87810039.0
1993,1341,1993,France,Poland,70455549.0
1993,1396,1993,Sweden,South Africa,69286251.0
1993,1313,1993,Belgium,Brazil,63809098.0
1993,1349,1993,Germany,Thailand,57192035.0
1993,1321,1993,Canada,Poland,47097910.0
1993,1423,1993,United States,Chile,45613387.0
1993,1382,1993,Norway,South Africa,42628330.0
1993,1319,1993,Canada,India,42373691.0
1993,1339,1993,France,India,38585989.0
1993,1418,1993,United Kingdom,Thailand,38257057.0
1993,1326,1993,Denmark,India,38041511.0
1993,1384,1993,Spain,Chile,36693281.0
1993,1345,1993,Germany,Chile,34248232.0
1993,1362,1993,Japan,India,33190482.0
1993,1327,1993,Denmark,Thailand,28911550.0
1993,1417,1993,United Kingdom,South Africa,25864767.0
1993,1401,1993,Switzerland,India,23963380.0
1993,1311,1993,Australia,Thailand,20373311.0
1993,1381,1993,Norway,India,20260343.0
1993,1346,1993,Germany,Colombia,19259397.0
1993,1324,1993,Canada,Thailand,18661112.0
1993,1310,1993,Australia,India,17184568.0
1993,1336,1993,France,Colombia,16735285.0
1993,1374,1993,Netherlands,Chile,15287028.0
1993,1413,1993,United Kingdom,Poland,15017638.0
1993,1391,1993,Sweden,India,14775727.0
1993,1394,1993,Sweden,Poland,12120735.0
1993,1314,1993,Belgium,India,11758503.0
1993,1352,1993,Italy,Colombia,9932324.0
1993,1375,1993,Netherlands,Colombia,8599644.0
1993,1312,1993,Austria,Thailand,8599286.0
1993,1351,1993,Italy,Chile,8516810.0
1993,1348,1993,Germany,Poland,7897797.0
1993,1333,1993,Finland,India,7022627.0
1993,1403,1993,Switzerland,Thailand,6551830.0
1993,1377,1993,Netherlands,Thailand,6065305.0
1993,1397,1993,Sweden,Thailand,5785708.0
1993,1316,1993,Canada,Chile,5205743.0
1993,1398,1993,Switzerland,Brazil,5035726.0
1993,1355,1993,Italy,South Africa,5015870.0
1993,1317,1993,Canada,Colombia,4930766.0
1993,1402,1993,Switzerland,South Africa,4437956.0
1993,1315,1993,Canada,Brazil,4375092.0
1993,1353,1993,Italy,India,4359513.0
1993,1383,1993,Norway,Thailand,3485677.0
1993,1334,1993,Finland,Thailand,3279780.0
1993,1399,1993,Switzerland,Chile,3252924.0
1993,1378,1993,Norway,Brazil,3239056.0
1993,1405,1993,United Kingdom,Chile,3071247.0
1993,1430,1993,United States,Korea,2970792.0
1993,1357,1993,Japan,Brazil,2806740.0
1993,1379,1993,Norway,Chile,2804658.0
1993,1359,1993,Japan,Colombia,2577193.0
1993,1358,1993,Japan,Chile,2545891.0
1993,1385,1993,Sweden,Brazil,1947428.0
1993,1387,1993,Sweden,Colombia,1713612.0
1993,1386,1993,Sweden,Chile,1405855.0
1993,1356,1993,Italy,Thailand,1041583.0
1993,1323,1993,Canada,South Africa,916613.0
1993,1404,1993,United Kingdom,Brazil,836963.0
1993,1373,1993,Netherlands,Brazil,637727.0
1993,1400,1993,Switzerland,Colombia,467706.0
1993,1354,1993,Italy,Poland,433805.0
1993,1380,1993,Norway,Colombia,429151.0
1993,1329,1993,Finland,Chile,320740.0
1993,1320,1993,Canada,Korea,186491.0
1993,1325,1993,Denmark,Chile,109799.0
1993,1328,1993,Finland,Brazil,74628.0
1994,1593,1994,United States,Brazil,2402556550.0
1994,1599,1994,United States,India,1843572308.0
1994,1536,1994,Japan,India,1274671959.0
1994,1601,1994,United States,Korea,1071368568.0
1994,1541,1994,Japan,Thailand,866077826.0
1994,1606,1994,United States,Thailand,450588120.0
1994,1531,1994,Japan,Brazil,344603112.0
1994,1509,1994,Germany,India,315599032.0
1994,1603,1994,United States,Poland,307335764.0
1994,1547,1994,Netherlands,India,231166770.0
1994,1605,1994,United States,South Africa,228559635.0
1994,1595,1994,United States,Colombia,217380901.0
1994,1583,1994,United Kingdom,India,117360030.0
1994,1562,1994,Sweden,India,68144186.0
1994,1555,1994,Norway,South Africa,67902811.0
1994,1492,1994,France,India,62190738.0
1994,1586,1994,United Kingdom,Poland,61472061.0
1994,1472,1994,Denmark,India,49247092.0
1994,1590,1994,United Kingdom,South Africa,40038931.0
1994,1508,1994,Germany,Colombia,39212561.0
1994,1554,1994,Norway,India,39124182.0
1994,1462,1994,Canada,India,35654310.0
1994,1568,1994,Sweden,South Africa,35282757.0
1994,1497,1994,France,Poland,33210241.0
1994,1473,1994,Denmark,South Africa,32618331.0
1994,1438,1994,Australia,India,32589336.0
1994,1485,1994,France,Brazil,26389895.0
1994,1440,1994,Australia,Thailand,25624929.0
1994,1549,1994,Netherlands,South Africa,23161510.0
1994,1591,1994,United Kingdom,Thailand,22931473.0
1994,1574,1994,Switzerland,South Africa,21288630.0
1994,1474,1994,Denmark,Thailand,19142567.0
1994,1594,1994,United States,Chile,17598831.0
1994,1532,1994,Japan,Chile,16873203.0
1994,1487,1994,France,Colombia,14931293.0
1994,1486,1994,France,Chile,13469906.0
1994,1573,1994,Switzerland,India,12365998.0
1994,1507,1994,Germany,Chile,12253925.0
1994,1546,1994,Netherlands,Colombia,11141301.0
1994,1458,1994,Canada,Colombia,10901638.0
1994,1505,1994,France,Thailand,9055284.0
1994,1483,1994,Finland,South Africa,8806411.0
1994,1552,1994,Norway,Chile,8080387.0
1994,1456,1994,Canada,Brazil,6811421.0
1994,1565,1994,Sweden,Poland,6807296.0
1994,1557,1994,Spain,India,6797785.0
1994,1513,1994,Italy,Brazil,6796291.0
1994,1524,1994,Italy,Poland,6524333.0
1994,1443,1994,Belgium,Brazil,6347878.0
1994,1444,1994,Belgium,Chile,6301350.0
1994,1569,1994,Sweden,Thailand,6296480.0
1994,1448,1994,Belgium,India,5982549.0
