,level_0,index,Country,Purpose,Code,Amount,CapitalLatitude,CapitalLongitude,CapitalName,ContinentName,CountryCode
100,100,3051,Sweden,Industrial development,32120,35282669.0,59.333333333333336,18.05,Stockholm,Europe,SE
4,4,10,Belgium,Air transport,21050,184346233.0,50.833333333333336,4.333333,Brussels,Europe,BE
86,86,2576,Slovakia,Air transport,21050,31781.0,48.15,17.116667,Bratislava,Europe,SK
65,65,2039,Luxembourg,Air transport,21050,555039832.0,49.6,6.116667,Luxembourg,Europe,LU
98,98,3046,Spain,Industrial development,32120,7062587.0,40.4,-3.683333,Madrid,Europe,ES
74,74,2232,Portugal,Air transport,21050,130233430.0,38.71666666666667,-9.133333,Lisbon,Europe,PT
63,63,1987,Lithuania,Power generation/non-renewable sources,23020,4032215.0,54.68333333333333,25.316667,Vilnius,Europe,LT
24,24,922,Czech Republic,Industrial development,32120,167119692.0,50.083333333333336,14.466667,Prague,Europe,CZ
47,47,1573,Ireland,Industrial development,32120,52303341.0,53.31666666666667,-6.233333,Dublin,Europe,IE
46,46,1572,Ireland,Air transport,21050,793462113.0,53.31666666666667,-6.233333,Dublin,Europe,IE
39,39,1244,Hungary,Power generation/non-renewable sources,23020,36780754.0,47.5,19.083333,Budapest,Europe,HU
28,28,1008,Estonia,Air transport,21050,2730390.0,59.43333333333333,24.716667,Tallinn,Europe,EE
29,29,1064,Estonia,Industrial development,32120,52832694.0,59.43333333333333,24.716667,Tallinn,Europe,EE
30,30,1080,Estonia,Power generation/non-renewable sources,23020,2579891.0,59.43333333333333,24.716667,Tallinn,Europe,EE
91,91,2761,Slovenia,Power generation/non-renewable sources,23020,35803.0,46.05,14.516667,Ljubljana,Europe,SI
38,38,1222,Hungary,Industrial development,32120,599861909.0,47.5,19.083333,Budapest,Europe,HU
41,41,1295,Iceland,Air transport,21050,18060045.0,64.15,-21.95,Reykjavik,Europe,IS
3,3,6,Austria,Air transport,21050,769908525.0,48.2,16.366667,Vienna,Europe,AT
36,36,1142,Greece,Power generation/non-renewable sources,23020,10684686.0,37.983333333333334,23.733333,Athens,Europe,GR
35,35,1140,Greece,Industrial development,32120,7939384.0,37.983333333333334,23.733333,Athens,Europe,GR
34,34,1138,Greece,Air transport,21050,402975319.0,37.983333333333334,23.733333,Athens,Europe,GR
40,40,1253,Hungary,Rail transport,21030,72743.0,47.5,19.083333,Budapest,Europe,HU
49,49,1575,Italy,Air transport,21050,2356747779.0,41.9,12.483333,Rome,Europe,IT
37,37,1157,Hungary,Air transport,21050,182987467.0,47.5,19.083333,Budapest,Europe,HU
48,48,1574,Ireland,Power generation/non-renewable sources,23020,88873275.0,53.31666666666667,-6.233333,Dublin,Europe,IE
21,21,803,Cyprus,Industrial development,32120,13976387.0,35.166666666666664,33.366667,Nicosia,Europe,CY
22,22,813,Cyprus,Power generation/non-renewable sources,23020,44659374.0,35.166666666666664,33.366667,Nicosia,Europe,CY
62,62,1964,Lithuania,Industrial development,32120,38053026.0,54.68333333333333,25.316667,Vilnius,Europe,LT
61,61,1906,Lithuania,Air transport,21050,25924539.0,54.68333333333333,25.316667,Vilnius,Europe,LT
59,59,1836,Latvia,Power generation/non-renewable sources,23020,150100.0,56.95,24.1,Riga,Europe,LV
58,58,1817,Latvia,Industrial development,32120,29807746.0,56.95,24.1,Riga,Europe,LV
31,31,1086,Estonia,Rail transport,21030,995819.0,59.43333333333333,24.716667,Tallinn,Europe,EE
27,27,995,Denmark,Air transport,21050,83221323.0,55.666666666666664,12.583333,Copenhagen,Europe,DK
110,110,3417,United Kingdom,Air transport,21050,957343964.0,51.5,-0.083333,London,Europe,GB
23,23,855,Czech Republic,Air transport,21050,519224550.0,50.083333333333336,14.466667,Prague,Europe,CZ
25,25,943,Czech Republic,Power generation/non-renewable sources,23020,115127524.0,50.083333333333336,14.466667,Prague,Europe,CZ
26,26,952,Czech Republic,Rail transport,21030,127170244.0,50.083333333333336,14.466667,Prague,Europe,CZ
57,57,1762,Latvia,Air transport,21050,1086851.0,56.95,24.1,Riga,Europe,LV
16,16,530,Colombia,Air transport,21050,269523343.0,4.6,-74.083333,Bogota,South America,CO
6,6,146,Brazil,Industrial development,32120,2247906288.0,-15.783333333333333,-47.916667,Brasilia,South America,BR
18,18,693,Colombia,Power generation/non-renewable sources,23020,1604712459.0,4.6,-74.083333,Bogota,South America,CO
19,19,702,Colombia,Rail transport,21030,381709761.0,4.6,-74.083333,Bogota,South America,CO
5,5,34,Brazil,Air transport,21050,3456435359.0,-15.783333333333333,-47.916667,Brasilia,South America,BR
14,14,441,Chile,Power generation/non-renewable sources,23020,67384606.0,-33.45,-70.666667,Santiago,South America,CL
12,12,295,Chile,Air transport,21050,778066701.0,-33.45,-70.666667,Santiago,South America,CL
9,9,204,Brazil,Rail transport,21030,462898309.0,-15.783333333333333,-47.916667,Brasilia,South America,BR
17,17,650,Colombia,Industrial development,32120,894660171.0,4.6,-74.083333,Bogota,South America,CO
7,7,193,Brazil,Power generation/non-renewable sources,23020,1104061197.0,-15.783333333333333,-47.916667,Brasilia,South America,BR
8,8,202,Brazil,RESCHEDULING AND REFINANCING,60040,95301312.0,-15.783333333333333,-47.916667,Brasilia,South America,BR
15,15,450,Chile,Rail transport,21030,205663377.0,-33.45,-70.666667,Santiago,South America,CL
13,13,402,Chile,Industrial development,32120,719537287.0,-33.45,-70.666667,Santiago,South America,CL
